sentence,class
萨特,3
罗素,3
斯宾诺莎,3
阿多诺,3
自然语言处理,3
农业生态学,3
农业气象,3
植物营养学,3
农业经济学,3
农产品加工,3
农业可持续发展,3
农业遗传学,3
精准农业,3
农产品质量与安全,3
农业种质资源,3
他的手放在热水袋上，感觉温暖极了,3
电脑过热了，风扇的温度也随之升高,3
这瓶饮料温度适中，刚刚好,3
实验室的温度控制在一定范围内,3
设备的工作温度需要保持在常温,3
厨房的温度比客厅高得多,3
这台机器的工作温度是40摄氏度,3
恒温箱的温度保持在28度,3
冰块的温度还很低,3
洗澡水的温度调得刚刚好,3
热水已经烧开了，可以泡茶了,3
小心，这杯热水很烫,3
她用热水冲洗了手中的杯子,3
他喜欢在冬天喝一杯热水,3
我需要一壶热水来泡面,3
请把热水瓶拿过来，我需要倒点热水,3
她把热水放在浴缸里准备泡澡,3
热水能帮助舒缓肌肉疲劳,3
一杯热水可以快速暖身,3
热水和冷水混合后适合洗碗,3
热水倒进茶壶里，香气四溢,3
我打算去附近的公园走走,3
今天去街角的咖啡店坐坐吧,3
我想去书店看看新书,3
不远处的超市有些东西要买,3
去附近的餐馆吃点东西,3
我决定去巷子里的小面包店买点面包,3
我想去楼下的便利店买个饮料,3
我打算去附近的药店看看,3
我想去对面的小咖啡馆放松一下,3
不远的广场上有个小摊位，我想去看看,3
我想去楼下的健身房锻炼,3
附近的电影院有场电影，我想去看,3
去附近的美术馆走一走，看看展览,3
我想去家附近的花卉市场逛逛,3
我打算去小区门口的书店,3
楼下的餐厅最近很火，我打算去尝尝,3
我想去车厢前面找个座位坐,3
我打算去列车餐车吃点东西,3
我想去列车洗手间看看,3
我要去车厢后面走走,3
我打算去列车连接处透透气,3
我想去隔壁车厢看看有没有空座,3
我想去车厢前面的出口站站牌看看,3
我要去车厢的餐车买瓶水,3
我想去列车的车头看看,3
我打算去列车的休息区放松一下,3
我需要去列车车厢旁边的门口透气,3
我想去列车的车厢前部确认信息,3
我打算去靠窗的座位拍点风景,3
我想去车厢的司机室看看,3
桌子上放着一把刀叉,3
这瓶油是用来烹饪的,3
我正在整理厨房里的调料架,3
冰箱里存放着食材和饮料,3
这把切菜刀已经用了好多年,3
我需要一个锅来煮汤,3
那个搅拌机非常适合做果汁,3
