sentence,class
查询一下列车的时刻表。,0
查询一下列车的余票情况。,0
我想订购火车票。,0
我想订购往返票。,0
我想订购儿童票。,0
我想订购老人票。,0
我要订购硬座票。,0
我要订购联程票。,0
我要订购往返票。,0
我要订购中转票。,0
我想选择靠窗的位置。,0
我想选择靠过道的位置。,0
我想选择一下座位类型。,0
我要订火车票。,0
帮我订张火车票吧。,0
请帮我订火车票。,0
我想订一张火车票。,0
麻烦帮我订个火车票。,0
订一张火车票给我。,0
我需要订火车票。,0
我得订张火车票。,0
我打算订火车票。,0
我准备订火车票。,0
可以帮我预订一张火车票吗？,0
你能帮我安排一张火车票吗？,0
能否为我预订一张火车票？,0
请问能否帮我购买一张火车票？,0
我要订从北京到上海的火车票。,0
我要订从广州到深圳的高铁票。,0
我要订明天早上8点的火车票。,0
我要订后天晚上的动车票。,0
我要订周五下午的火车票。,0
我要订周日早上的高铁票。,0
我要订下周三的火车票。,0
我要订一个月后的火车票。,0
我要买火车票。,0
去北京的高铁商务座有票吗？,0
有去北京的直达列车吗？,0
去北京需要换几次车？,0
火车票多少钱？,0
高铁票多少钱？,0
今天从重庆到北京的车最早几点出发？,0
我要买一张从重庆到北京的票。,0
现在还有从重庆到北京的车吗？,0
这个票是高铁票还是火车票？,0
去天津的火车有票吗？,0
去天津的高铁有票吗？,0
去天津的火车硬座有票吗？,0
去河北的高铁二等座有票吗？,0
去河北的高铁一等座有票吗？,0
去河北的高铁商务座有票吗？,0
有去河北的直达列车吗？,0
去河北需要换几次车？,0
去山西的火车有票吗？,0
去山西的高铁有票吗？,0
去山西的火车硬座有票吗？,0
去山西的火车硬卧有票吗？,0
去山西的火车软卧有票吗？,0
去山西的高铁二等座有票吗？,0
去山西的高铁一等座有票吗？,0
去山西的高铁商务座有票吗？,0
有去山西的直达列车吗？,0
去山西需要换几次车？,0
去辽宁的火车硬座有票吗？,0
去辽宁的火车硬卧有票吗？,0
去辽宁的火车软卧有票吗？,0
去辽宁的高铁二等座有票吗？,0
去辽宁的高铁一等座有票吗？,0
去辽宁的高铁商务座有票吗？,0
有去辽宁的直达列车吗？,0
去辽宁需要换几次车？,0
去吉林的火车有票吗？,0
去吉林的高铁有票吗？,0
去吉林的火车硬座有票吗？,0
去吉林的火车硬卧有票吗？,0
去吉林的火车软卧有票吗？,0
去吉林的高铁二等座有票吗？,0
去吉林的高铁一等座有票吗？,0
去吉林的高铁商务座有票吗？,0
有去吉林的直达列车吗？,0
去黑龙江的高铁商务座有票吗？,0
有去黑龙江的直达列车吗？,0
去黑龙江需要换几次车？,0
