sentence,class
去山西的火车有票吗？,0
去河北的高铁有票吗？,0
上午我计划去云南。,0
我想知道未来一周前往江苏的火车票最低价是多少。,0
我想查询一下前往河南的高铁票情况。,0
我想知道明天前往河南的火车最早是几点发车？,0
我明天想去新疆。,0
去海南的火车硬卧有票吗？,0
我想订购火车票。,0
我想查询一下前往黑龙江的高铁票情况。,0
我周五想去北京。,0
去河北的高铁一等座有票吗？,0
这一周前往安徽的火车卧铺票是否还有剩余？,0
能出示一下最近一周可以抵达河北的所有动车车次吗？,0
我明天想去湖南。,0
我希望能了解从重庆到江西的火车票信息。,0
去广西需要换几次车？,0
晚上的安排我也想去山东。,0
晚上的安排我也想去江苏。,0
去山东的火车软卧有票吗？,0
周五我有意向去甘肃。,0
我想到西藏去。,0
我下周一想去新疆。,0
我打算订火车票。,0
我想买张票。,0
我明天想去甘肃。,0
明天去西藏的火车票大概需要多少钱？,0
明天前往安徽的动车站票大概需要多少钱？,0
我想查询一下未来一周内，前往河南的动车票剩余数量。,0
明天去往北京的高铁还有坐票吗？,0
明天晚上我也打算前往陕西。,0
请问明天前往吉林的火车票还有剩余吗？,0
去山西的高铁一等座有票吗？,0
去车站之前，我得先确认一下天气,0
我想要查询明天从重庆去辽宁的火车票。,0
今天前往江西的火车票是否已经售罄？,0
去河北的高铁商务座有票吗？,0
我后天也计划去陕西。,0
下周一我希望能去吉林。,0
我后天想去宁夏。,0
去新疆需要换几次车？,0
去湖南的高铁商务座有票吗？,0
明天前往四川的动车或火车站票大概需要多少钱？,0
明天前往上海的动车站票大概需要多少钱？,0
这一周前往广西的火车卧铺票是否还有剩余？,0
去上海的火车硬座有票吗？,0
能否提供一下近期可以抵达重庆的所有动车或火车车次？,0
我想到安徽。,0
我要买一张从重庆到北京的票。,0
我想到云南去。,0
我明天想去江苏。,0
我大后天想去新疆。,0
我需要一张卧铺票。,0
我后天也计划去湖南。,0
我明天下午想去宁夏。,0
帮我查询一下明天能到达天津的动车最晚车次呗。,0
有去贵州的直达列车吗？,0
去宁夏的火车有票吗？,0
请问明天前往湖北的火车票还有剩余吗？,0
明天去新疆的火车站票最低多少钱？,0
我想查询一下未来一周内，前往江西的动车票剩余数量。,0
明天下午的行程是江苏。,0
能否告诉我，哪趟车次是去上海最便宜的火车票？,0
我下午想去内蒙古。,0
今天前往浙江的火车票是否已经售罄？,0
去安徽的火车硬卧有票吗？,0
明天晚上我也打算前往贵州。,0
我明天晚上想去山西。,0
去内蒙古的火车硬卧有票吗？,0
帮我查询一下明天能到达宁夏的动车最晚车次呗。,0
去海南的火车有票吗？,0
我近期还想去福建。,0
我大后天想去天津。,0
能否告诉我，哪趟车次是去湖北最便宜的火车票？,0
有去湖北的直达列车吗？,0
下午的时间我想去湖北。,0
明天晚上我也打算前往浙江。,0
我明天上午想去河北。,0
下周一我希望能去海南。,0
能否帮我查询一下明天最晚一班到达四川的动车或火车是几点？,0
我想知道明天前往湖南的火车最早是几点发车？,0
下周一我希望能去湖北。,0
明天下午的行程是湖北。,0
去贵州的高铁二等座有票吗？,0
我想查询未来一周能抵达北京的动车票的剩余情况。,0
还有没有靠窗的座位？,0
我想到广东。,0
晚上的安排我也想去重庆。,0
我想到甘肃去。,0
我想要查询明天从重庆去青海的火车票。,0
我后天想去山西。,0
这一周去河北的火车卧铺票还有剩余吗？,0
去上海的高铁商务座有票吗？,0
我下周一想去天津。,0
去江西的高铁商务座有票吗？,0
去江西需要换几次车？,0
我明天想去广东。,0
小孩能免票吗？,0
明天去青海的动车站票最低多少钱？,0
我周五想去新疆。,0
