sentence,class
我得去车站，先确认一下天气怎么样,0
我打算去车站，得看看外面天气如何,0
我要去车站，先看看天气预报,0
去车站之前，我得先确认一下天气,0
我准备去车站，得了解一下天气情况,0
去车站前，先查查今天的天气,0
我要去车站，得知道外面天气如何,0
我去车站前得先看看天气变化,0
我要去车站，最好先确认一下是否会下雨,0
去车站之前，我得看看天气是否适合出门,0
今天外面下雨，我正好想在家里吃点热饭,1
天气有点冷，正好想吃点热乎乎的火锅,1
外面刮风了，我正好想在餐馆里吃顿饭,1
今天太热了，想去吃点清爽的沙拉,1
外面下着小雨，正是想吃碗热汤的时候,1
天气不好，我更想在家吃个温暖的晚餐,1
今天阴天，正适合吃些热菜暖胃,1
外面刮风很冷，正好想去吃点热面,1
今天雨下得很大，我想去吃碗热乎乎的面条,1
天气冷了，我想去吃点温暖的食物,1
我去车站是为了买票，但其实我打算先在附近的餐馆吃点东西,1
我得去车站买票，不过先去车站旁边的餐厅吃点饭,1
去车站买票顺便在附近的小吃店尝尝,1
我要去车站取票，不过先去车站附近的咖啡店坐坐,1
我先去车站买票，顺便去旁边的面馆吃碗面,1
我去车站是为了取票，但计划在附近的餐厅吃个午餐,1
我去车站的目的是买票，但我先在周围的小吃街吃点东西,1
我得去车站买票，然后再去站旁的餐馆吃点饭,1
我去车站买票，顺便去附近的包子铺吃个早餐,1
我打算去车站买票，不过先去车站附近的快餐店吃点东西,1
外面天气不好，我还是打算在线上买票,2
今天下雨太大，还是直接网上购票吧,2
天气这么糟糕，不如在网上买票更方便,2
外面风很大，我决定在线上买票,2
今天的天气不适合出门，我还是通过网上买票,2
外面下雪了，还是在网上买票比较安全,2
暴雨天气下，还是在线上买票比较省事,2
今天的天气太差了，不想去车站买票，直接网上购票,2
外面风雨交加，干脆网上购票算了,2
天气不好，线上买票更加方便快捷,2
